x	y	xdot	ydot	theta	thetadot	cl	cr
1.654346084594726562e+01	2.442216682434082031e+01	0.000000000000000000e+00	-3.270000219345092773e-01	2.821957767009735107e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.654367637634277344e+01	2.441402626037597656e+01	1.306707691401243210e-02	-4.867235720157623291e-01	2.820531725883483887e-01	-7.756774779409170151e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.654411125183105469e+01	2.440323257446289062e+01	2.613444067537784576e-02	-6.464493274688720703e-01	2.817853391170501709e-01	-1.551372837275266647e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654476356506347656e+01	2.438977813720703125e+01	3.920296207070350647e-02	-8.061798214912414551e-01	2.813910543918609619e-01	-2.327081933617591858e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654563331604003906e+01	2.437366676330566406e+01	5.227344855666160583e-02	-9.659175872802734375e-01	2.808694541454315186e-01	-3.102796152234077454e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654672241210937500e+01	2.435489654541015625e+01	6.534669548273086548e-02	-1.125665187835693359e+00	2.802199125289916992e-01	-3.878515958786010742e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654802894592285156e+01	2.433346557617187500e+01	7.842343300580978394e-02	-1.285425066947937012e+00	2.794420719146728516e-01	-4.654238373041152954e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654955482482910156e+01	2.430937576293945312e+01	9.150443226099014282e-02	-1.445199847221374512e+00	2.785354256629943848e-01	-5.429960414767265320e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655129814147949219e+01	2.428262138366699219e+01	1.045903861522674561e-01	-1.604992032051086426e+00	2.775001227855682373e-01	-6.205683201551437378e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655325889587402344e+01	2.425320625305175781e+01	1.176819950342178345e-01	-1.764804363250732422e+00	2.763357460498809814e-01	-6.981405615806579590e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655542373657226562e+01	2.422112274169921875e+01	1.299290060997009277e-01	-1.924880027770996094e+00	2.750507891178131104e-01	-7.706692814826965332e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655777931213378906e+01	2.418636703491210938e+01	1.413079202175140381e-01	-2.085225105285644531e+00	2.736536860466003418e-01	-8.380158245563507080e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.656031036376953125e+01	2.414893531799316406e+01	1.518629342317581177e-01	-2.245826244354248047e+00	2.721526324748992920e-01	-9.004437923431396484e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.656300354003906250e+01	2.410882377624511719e+01	1.616361588239669800e-01	-2.406670093536376953e+00	2.705554664134979248e-01	-9.582050889730453491e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.656584739685058594e+01	2.406602859497070312e+01	1.706676632165908813e-01	-2.567744255065917969e+00	2.688695192337036133e-01	-1.011539697647094727e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.656883049011230469e+01	2.402054405212402344e+01	1.789956241846084595e-01	-2.729035854339599609e+00	2.671016156673431396e-01	-1.060676649212837219e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.657194137573242188e+01	2.397236824035644531e+01	1.866563260555267334e-01	-2.890533208847045898e+00	2.652585804462432861e-01	-1.105834245681762695e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.657516860961914062e+01	2.392149734497070312e+01	1.936843842267990112e-01	-3.052224874496459961e+00	2.633466124534606934e-01	-1.147220507264137268e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.657850456237792969e+01	2.386792945861816406e+01	2.001128196716308594e-01	-3.214099407196044922e+00	2.613715827465057373e-01	-1.185034215450286865e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658193778991699219e+01	2.381166076660156250e+01	2.059729695320129395e-01	-3.376145601272583008e+00	2.593390345573425293e-01	-1.219464689493179321e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658545875549316406e+01	2.375268745422363281e+01	2.112947255373001099e-01	-3.538352727890014648e+00	2.572546303272247314e-01	-1.250692605972290039e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658905982971191406e+01	2.369100952148437500e+01	2.161066234111785889e-01	-3.700711488723754883e+00	2.551231980323791504e-01	-1.278890073299407959e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.659273338317871094e+01	2.362662315368652344e+01	2.204358875751495361e-01	-3.863212108612060547e+00	2.529493868350982666e-01	-1.304221302270889282e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.659647178649902344e+01	2.355952644348144531e+01	2.243083566427230835e-01	-4.025845527648925781e+00	2.507380247116088867e-01	-1.326842159032821655e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.660026741027832031e+01	2.348971557617187500e+01	2.277487367391586304e-01	-4.188602924346923828e+00	2.484932541847229004e-01	-1.346901655197143555e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.660411453247070312e+01	2.341719055175781250e+01	2.307805418968200684e-01	-4.351475715637207031e+00	2.462189197540283203e-01	-1.364542245864868164e-01	0.000000000000000000e+00	0.000000000000000000e+00
