x	y	xdot	ydot	theta	thetadot	cl	cr
9.887318981367798187e+00	8.342835999691049054e+00	1.269142381804071445e-04	-3.232542568733601240e-01	-6.576517722178557230e-04	-3.530134272206378841e-06	-2.392753707932302572e-06	2.538535164056364536e-06
9.887653411004649229e+00	8.330752477263562383e+00	1.703991454131999900e-02	-3.771424931335625730e-01	-1.263906216608583037e-03	-2.557519192976242042e-02	3.396233678740900744e-06	-2.406712374066063368e-05
9.888696180548182113e+00	8.316982747062322545e+00	3.613089954025999750e-02	-4.229785858321887804e-01	-2.718050821359523431e-03	-4.938152569972529410e-02	-3.546162114636984053e-06	4.398681321381656004e-05
9.890428573977843030e+00	8.301886498806119619e+00	5.741670859901582685e-02	-4.615219165602048590e-01	-4.917049868495556447e-03	-7.142171855855698748e-02	2.528374965348547214e-06	-5.498346970345700178e-05
9.892875175317190184e+00	8.285758820298049443e+00	8.094773696884097203e-02	-4.935935834053754023e-01	-7.777463216976480270e-03	-9.164101248278011536e-02	-3.316846571101574504e-07	5.054508502868270119e-05
9.896278646499270693e+00	8.268567091737292429e+00	1.075832310828257199e-01	-5.197892147831466580e-01	-1.131641374020925586e-02	-1.099335328510366028e-01	-2.654991897123668642e-06	-2.743789701791065613e-05
9.900546807475802069e+00	8.250762666073608642e+00	1.369109330735679420e-01	-5.411150683804837325e-01	-1.536985331998598492e-02	-1.263164591637139234e-01	5.652555251984641369e-06	-1.217716756095306381e-05
9.905950550374537755e+00	8.232249199182451349e+00	1.697023253368972751e-01	-5.579131711777689517e-01	-1.996153500554069538e-02	-1.407137999699918374e-01	-7.638263881305201161e-06	5.982295542517628202e-05
9.912493264593786435e+00	8.213325166981613634e+00	2.058072011546362712e-01	-5.710542518581147586e-01	-2.496196798700758140e-02	-1.531750993665574045e-01	7.620801190458571174e-06	-1.016628564561509573e-04
9.920328179601490604e+00	8.194045748274252361e+00	2.454237694915310797e-01	-5.808367203049940031e-01	-3.033202023147572868e-02	-1.636910195980872951e-01	-4.989289475058481556e-06	1.215867798977644494e-04
9.929605077746540331e+00	8.174475200351540849e+00	2.888265046493845301e-01	-5.878259685916530364e-01	-3.601561393059399263e-02	-1.722881038334018733e-01	-1.604487587223832928e-07	-1.060256744549948802e-04
9.940378065377649008e+00	8.154789291043822885e+00	3.358076680773148803e-01	-5.923761777644184212e-01	-4.192031862178872970e-02	-1.790193160962919583e-01	6.841070902253348543e-06	4.937887169356171383e-05
9.952853806766409406e+00	8.134948138286151931e+00	3.866470702444814722e-01	-5.948000178441701369e-01	-4.802424997632043224e-02	-1.839584451770093776e-01	-1.323715681313943773e-05	4.161483401630839942e-05
9.967081113223930089e+00	8.115114782528058512e+00	4.409428821907843132e-01	-5.954764733411470612e-01	-5.423915687631512828e-02	-1.874309138773694872e-01	1.707164666146714451e-05	-1.463839428068404219e-04
9.983217090473775812e+00	8.095278513533088471e+00	4.986423140731469639e-01	-5.945056384129986382e-01	-6.054584784420270760e-02	-1.895738891548464644e-01	-1.624314299680181502e-05	2.333063657579419648e-04
1.000136700787776967e+01	8.075505448509158413e+00	5.598930047046801750e-01	-5.923111252755992595e-01	-6.688915352069420284e-02	-1.903852777691922571e-01	9.599332031737471332e-06	-2.671313549504122030e-04
1.002162705661346820e+01	8.055851859388722502e+00	6.243893001108060670e-01	-5.889092529860540104e-01	-7.322406480386756122e-02	-1.899850621307297149e-01	2.376309054765523851e-06	2.199295469030654521e-04
1.004414207886588706e+01	8.036309120030345809e+00	6.923980057626534235e-01	-5.846281783038882462e-01	-7.952326141028970286e-02	-1.883449144865686486e-01	-1.722628773253314340e-05	-8.290892104159704851e-05
1.006898720682799286e+01	8.016956106190253450e+00	7.635254159092976778e-01	-5.794967933370641644e-01	-8.573016130157617987e-02	-1.855720472892566919e-01	3.075244278244372592e-05	-1.246823708484085511e-04
1.009624932127556107e+01	7.997778494664254723e+00	8.358083972514833704e-01	-5.734199404399313860e-01	-9.181758252323943270e-02	-1.813874093506466778e-01	-3.791699281041000847e-05	3.535121391257604992e-04
1.012591160770387688e+01	7.978831980416820180e+00	9.079058079211785870e-01	-5.665569384877822134e-01	-9.772179362078836640e-02	-1.756306334157208826e-01	3.430845946551465051e-05	-5.317913366076414908e-04
1.015797099099597034e+01	7.960140747569408148e+00	9.798314468705615621e-01	-5.587046831479672848e-01	-1.034028826749589791e-01	-1.686257619999038115e-01	-1.784461410574906176e-05	5.829372371854693504e-04
1.019243226886319320e+01	7.941716961721556167e+00	1.051667714130363862e+00	-5.502922093011697324e-01	-1.088200276786166487e-01	-1.602961514989884872e-01	-9.797492583207739587e-06	-4.503113380127974448e-04
1.022927077043933153e+01	7.923604815846877258e+00	1.123122457078318259e+00	-5.410884099729089680e-01	-1.139299176998674057e-01	-1.509827255218324504e-01	4.259796341508943079e-05	1.227364736659083337e-04
