x	y	xdot	ydot	theta	thetadot	cl	cr
1.666843795776367188e+01	2.443948936462402344e+01	0.000000000000000000e+00	-3.270000219345092773e-01	-6.509670056402683258e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.666843032836914062e+01	2.443128013610839844e+01	-5.951440107310190797e-05	-4.904999434947967529e-01	-6.572821876034140587e-04	3.394142549950629473e-05	0.000000000000000000e+00	0.000000000000000000e+00
1.666842460632324219e+01	2.442035293579101562e+01	-1.177767117042094469e-04	-6.539998650550842285e-01	-6.611752905882894993e-04	6.717188080074265599e-05	0.000000000000000000e+00	0.000000000000000000e+00
1.666841697692871094e+01	2.440670776367187500e+01	-1.746353227645158768e-04	-8.174997568130493164e-01	-6.632290314882993698e-04	9.958616283256560564e-05	0.000000000000000000e+00	0.000000000000000000e+00
1.666841125488281250e+01	2.439034271240234375e+01	-2.299667103216052055e-04	-9.809993505477905273e-01	-6.638964405283331871e-04	1.310963707510381937e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666840553283691406e+01	2.437125587463378906e+01	-2.837155188899487257e-04	-1.144499301910400391e+00	-6.634060991927981377e-04	1.616635126993060112e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666839790344238281e+01	2.434944915771484375e+01	-3.359068359714001417e-04	-1.307999134063720703e+00	-6.617686012759804726e-04	1.914142922032624483e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666839027404785156e+01	2.432491683959960938e+01	-3.863995952997356653e-04	-1.471499204635620117e+00	-6.592713179998099804e-04	2.201263268943876028e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666838073730468750e+01	2.429766273498535156e+01	-4.352620162535458803e-04	-1.634999275207519531e+00	-6.560207693837583065e-04	2.479712129570543766e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666837310791015625e+01	2.426768302917480469e+01	-4.824555071536451578e-04	-1.798499226570129395e+00	-6.520483875647187233e-04	2.749178675003349781e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666836166381835938e+01	2.423497962951660156e+01	-5.279696779325604439e-04	-1.961999058723449707e+00	-6.474250694736838341e-04	3.009318897966295481e-04	0.000000000000000000e+00	0.000000000000000000e+00
