x	y	xdot	ydot	theta	thetadot	cl	cr
1.666843795776367188e+01	2.443948936462402344e+01	0.000000000000000000e+00	-3.270000219345092773e-01	-6.509670056402683258e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.666843032836914062e+01	2.443128013610839844e+01	-6.837931141490116715e-05	-4.904999434947967529e-01	-6.572125130333006382e-04	3.900106094079092145e-05	0.000000000000000000e+00	0.000000000000000000e+00
1.666842460632324219e+01	2.442035293579101562e+01	-1.327594800386577845e-04	-6.539998650550842285e-01	-6.610021810047328472e-04	7.569359149783849716e-05	0.000000000000000000e+00	0.000000000000000000e+00
1.666841697692871094e+01	2.440670776367187500e+01	-1.932839513756334782e-04	-8.174998164176940918e-01	-6.628942792303860188e-04	1.102071473724208772e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666840934753417969e+01	2.439034271240234375e+01	-2.500310365576297045e-04	-9.809997081756591797e-01	-6.634198944084346294e-04	1.425690279575064778e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666840171813964844e+01	2.437125587463378906e+01	-3.031669475603848696e-04	-1.144499540328979492e+00	-6.624706438742578030e-04	1.729103241814300418e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666839408874511719e+01	2.434944915771484375e+01	-3.528149100020527840e-04	-1.307999610900878906e+00	-6.605727830901741982e-04	2.013077464653179049e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666838645935058594e+01	2.432491683959960938e+01	-3.990456752944737673e-04	-1.471499443054199219e+00	-6.579555920325219631e-04	2.276632003486156464e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666837692260742188e+01	2.429766273498535156e+01	-4.421065095812082291e-04	-1.634999394416809082e+00	-6.545498035848140717e-04	2.522364375181496143e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666836929321289062e+01	2.426768302917480469e+01	-4.820815229322761297e-04	-1.798499464988708496e+00	-6.505882483907043934e-04	2.750243584159761667e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666835784912109375e+01	2.423497962951660156e+01	-5.191846285015344620e-04	-1.961999297142028809e+00	-6.460382719524204731e-04	2.962074649985879660e-04	0.000000000000000000e+00	0.000000000000000000e+00
1.666834831237792969e+01	2.419955253601074219e+01	-5.535293021239340305e-04	-2.125499248504638672e+00	-6.409448687918484211e-04	3.158626786898821592e-04	0.000000000000000000e+00	0.000000000000000000e+00
