x	y	xdot	ydot	theta	thetadot	cl	cr
1.500177288055419922e+01	2.443948745727539062e+01	0.000000000000000000e+00	-3.270000219345092773e-01	-6.509140366688370705e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500191020965576172e+01	2.443127822875976562e+01	8.571195416152477264e-03	-4.905128180980682373e-01	-7.393822888843715191e-04	-4.887758754193782806e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.500218772888183594e+01	2.442035102844238281e+01	1.688974350690841675e-02	-6.540260910987854004e-01	-9.050386724993586540e-04	-9.631764143705368042e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.500260066986083984e+01	2.440670394897460938e+01	2.495624125003814697e-02	-8.175408244132995605e-01	-1.146102440543472767e-03	-1.423222757875919342e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500314426422119141e+01	2.439033699035644531e+01	3.277142718434333801e-02	-9.810575246810913086e-01	-1.460477942600846291e-03	-1.868947781622409821e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500381469726562500e+01	2.437125015258789062e+01	4.033616557717323303e-02	-1.144577503204345703e+00	-1.846009865403175354e-03	-2.300398051738739014e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500460720062255859e+01	2.434944152832031250e+01	4.765148460865020752e-02	-1.308101058006286621e+00	-2.300522523000836372e-03	-2.717625536024570465e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500551795959472656e+01	2.432490730285644531e+01	5.471855401992797852e-02	-1.471628904342651367e+00	-2.821746049448847771e-03	-3.120696358382701874e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500654220581054688e+01	2.429765129089355469e+01	6.153869628906250000e-02	-1.635161161422729492e+00	-3.407562850043177605e-03	-3.509685397148132324e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500767612457275391e+01	2.426766967773437500e+01	6.811337918043136597e-02	-1.798698067665100098e+00	-4.055653233081102371e-03	-3.884675726294517517e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500891685485839844e+01	2.423496246337890625e+01	7.444422692060470581e-02	-1.962240338325500488e+00	-4.763740580528974533e-03	-4.245760291814804077e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501025867462158203e+01	2.419953155517578125e+01	8.053302764892578125e-02	-2.125787734985351562e+00	-5.529643502086400986e-03	-4.593040421605110168e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501169776916503906e+01	2.416137504577636719e+01	8.638165146112442017e-02	-2.289340257644653320e+00	-6.351106334477663040e-03	-4.926626011729240417e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501323127746582031e+01	2.412049293518066406e+01	9.199217706918716431e-02	-2.452898979187011719e+00	-7.225761190056800842e-03	-5.246633663773536682e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501485443115234375e+01	2.407688522338867188e+01	9.736678004264831543e-02	-2.616462945938110352e+00	-8.151464164257049561e-03	-5.553189292550086975e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501656246185302734e+01	2.403055191040039062e+01	1.025078147649765015e-01	-2.780032157897949219e+00	-9.125944226980209351e-03	-5.846425890922546387e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.501835155487060547e+01	2.398149108886718750e+01	1.074176877737045288e-01	-2.943606376647949219e+00	-1.014706771820783615e-02	-6.126471981406211853e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.502021980285644531e+01	2.392970466613769531e+01	1.120989769697189331e-01	-3.107185840606689453e+00	-1.121271774172782898e-02	-6.393498182296752930e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.502216243743896484e+01	2.387519264221191406e+01	1.165543720126152039e-01	-3.270769596099853516e+00	-1.232069265097379684e-02	-6.647644191980361938e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.502417564392089844e+01	2.381795310974121094e+01	1.207866072654724121e-01	-3.434357881546020508e+00	-1.346884947270154953e-02	-6.889069080352783203e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.502625560760498047e+01	2.375798797607421875e+01	1.247986033558845520e-01	-3.597950458526611328e+00	-1.465517282485961914e-02	-7.117940485477447510e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.502839851379394531e+01	2.369529533386230469e+01	1.285933554172515869e-01	-3.761547088623046875e+00	-1.587757654488086700e-02	-7.334428280591964722e-02	0.000000000000000000e+00	0.000000000000000000e+00
