x	y	xdot	ydot	theta	thetadot	cl	cr
9.887311260781624256e+00	1.625096920871255435e+01	8.276154627613043976e-05	-3.236856135126102707e-01	-6.588190591871697548e-04	-2.244677399187592964e-05	-6.804909396804864380e-10	-9.730066855697907251e-22
9.887898287834413935e+00	1.623295238569369303e+01	2.685330346954254224e-02	-6.463211408580886719e-01	-1.012940457340395523e-03	-1.532473685426279965e-02	1.186312596708995099e-10	1.078424176644475123e-21
9.889462442565136513e+00	1.620328029932355562e+01	5.377727091673426690e-02	-9.698997152740920225e-01	-1.913835620029664345e-03	-3.067231815106442189e-02	6.568557364661394504e-10	-8.471491860383245669e-22
9.891923253490277901e+00	1.616285284337738659e+01	8.071459716413173502e-02	-1.293343523111636806e+00	-3.322602050121838558e-03	-4.601774763502209514e-02	-1.446297863990103215e-09	2.546684284205997581e-22
9.895234635233448373e+00	1.611222607136635787e+01	1.075062875346278202e-01	-1.616478308984062862e+00	-5.215353190096571126e-03	-6.133461370826580328e-02	1.983759035589829537e-09	6.074358761412865737e-22
9.899531645805383917e+00	1.604976551695452969e+01	1.345121796743914411e-01	-1.940255663785535045e+00	-7.666166653363587491e-03	-7.669312615708845371e-02	-2.007666405027521920e-09	-1.527085073431195253e-21
9.904644232496481848e+00	1.597748828696691348e+01	1.613032703758979225e-01	-2.263664414963010074e+00	-1.058419255643799906e-02	-9.201171640615317393e-02	1.351692812039405548e-09	2.207194983135872129e-21
9.910720129334888995e+00	1.589361741613053169e+01	1.882378099749411615e-01	-2.587644126164161840e+00	-1.404965499669688297e-02	-1.073642656203403767e-01	-3.102202290235794415e-11	-2.341194041873111193e-21
9.917657455881917272e+00	1.579935500416454097e+01	2.150917525404206776e-01	-2.911751742310509705e+00	-1.800777358689385418e-02	-1.227053235511972040e-01	-1.706954450886817394e-09	1.715044076993972115e-21
9.925491369887645021e+00	1.569425560415171184e+01	2.418974737335028158e-01	-3.236317407729795370e+00	-2.247859836091500169e-02	-1.380624455451007759e-01	3.395815869005839716e-09	-3.090022502719095071e-22
9.934242825184224301e+00	1.557808243410112325e+01	2.687983376455823636e-01	-3.560649573481398544e+00	-2.747283259741543221e-02	-1.534129752754422038e-01	-4.442324716054828196e-09	-1.635789597360098694e-21
9.943851281655629037e+00	1.545145784483187867e+01	2.954829934336860031e-01	-3.886594534362993514e+00	-3.296154859064584497e-02	-1.688042667001234953e-01	4.290445569899877356e-09	3.619513384010849465e-21
9.954413496035330766e+00	1.531400812806471023e+01	3.235765443859840440e-01	-4.191030892541562025e+00	-3.897006905574290636e-02	-1.836151902192303953e-01	-2.623137215767654010e-09	-4.975110586180633919e-21
9.965977760261592877e+00	1.516799287323393486e+01	3.555307379921437971e-01	-4.443875875392478747e+00	-4.541469892205861336e-02	-1.966241722548236481e-01	-4.555254512002987032e-10	5.045122689261537198e-21
9.978742150802199617e+00	1.501459401469190524e+01	3.923424428103591821e-01	-4.649574104648355188e+00	-5.224519559750909203e-02	-2.074184899101316204e-01	4.326298998039725395e-09	-3.409701605541828126e-21
9.992864805846959797e+00	1.485535347249454041e+01	4.344897147996269471e-01	-4.814639968709562901e+00	-5.937620003371929522e-02	-2.158199413625485064e-01	-7.908103586444085052e-09	1.034972101539099746e-22
1.000852999924576103e+01	1.469168812347555786e+01	4.825851704260599728e-01	-4.942184364593654955e+00	-6.671708513792090622e-02	-2.216337000783303035e-01	9.885869089505373894e-09	4.256245810107214229e-21
1.002596741813523806e+01	1.452437066087250273e+01	5.368229669635470325e-01	-5.038496549429548388e+00	-7.419497375690362051e-02	-2.248353550525574174e-01	-9.088641066195015264e-09	-8.501572694179066434e-21
1.004536078677558741e+01	1.435476190765993465e+01	5.976270569937658372e-01	-5.105813907336177238e+00	-8.170600347277467979e-02	-2.254340960034476038e-01	4.934788311845824787e-09	1.114403511853293155e-20
1.006694170361206986e+01	1.418338892540075591e+01	6.642320488112443133e-01	-5.148788356614002915e+00	-8.917668312637616612e-02	-2.233521697758303060e-01	2.187423504489325243e-09	-1.078550838421681246e-20
1.009083123895590539e+01	1.401120268124877732e+01	7.344328886176618720e-01	-5.169651773191093369e+00	-9.650213418046989233e-02	-2.183419501812702279e-01	-1.075406935816060623e-08	6.624596776283518494e-21
1.011713170085094404e+01	1.383882762584310200e+01	8.075363840659863790e-01	-5.171021169585420019e+00	-1.035915307643797689e-01	-2.106244979775619974e-01	1.827750440605047294e-08	1.085284830663331545e-21
1.014594684673174996e+01	1.366676278543399192e+01	8.835308653425267833e-01	-5.155753186818095912e+00	-1.103683719405480768e-01	-2.006081403295290055e-01	-2.186114078488973117e-08	-1.079783952493971387e-20
1.017735131320378983e+01	1.349567867748375072e+01	9.620133500625542844e-01	-5.125357211172618221e+00	-1.167563140720763309e-01	-1.885763266388910675e-01	1.906504705761757402e-08	1.980507094452677507e-20
1.021143576272249831e+01	1.332584093995432895e+01	1.042772547724703180e+00	-5.082429398743645521e+00	-1.227048855519346504e-01	-1.748897557508313216e-01	-8.881782059878720832e-09	-2.480652273379716965e-20
1.024825517005506548e+01	1.315777814519363531e+01	1.125403890450337618e+00	-5.028148155814220921e+00	-1.281594298520835618e-01	-1.598170239832506223e-01	-7.477628389706521302e-09	2.285661384647582674e-20
1.028786950324201577e+01	1.299174428662577085e+01	1.209552598215003050e+00	-4.964338698550060158e+00	-1.330844590510297520e-01	-1.436425845536017099e-01	2.631508358328180424e-08	-1.248221856650129801e-20
1.033031882194697815e+01	1.282803602752641403e+01	1.294838486830661051e+00	-4.892341857847167574e+00	-1.374491018884865801e-01	-1.266196438469779362e-01	-4.194543405293875396e-08	-5.359641789863813458e-21
1.037562756048201962e+01	1.266694346690499096e+01	1.380823518070281919e+00	-4.813187069237760518e+00	-1.412284393621670298e-01	-1.089582794705651059e-01	4.803067081121332924e-08	2.686105822643845914e-20
1.042381463920309237e+01	1.250859476922246216e+01	1.467137924585723674e+00	-4.728270790389767164e+00	-1.444100327755038216e-01	-9.087903621305584712e-02	-3.954844392949679615e-08	-4.578881631161831141e-20
1.047487306363662540e+01	1.235324260180249212e+01	1.553345679757385245e+00	-4.638248560006429599e+00	-1.469806435566235192e-01	-7.254547253167618892e-02	1.491640312716298390e-08	5.487123668770979756e-20
1.052879621240291463e+01	1.220096936489346362e+01	1.639078233882649949e+00	-4.544233324033519317e+00	-1.489387862185478362e-01	-5.412932165953113217e-02	2.240683754113513886e-08	-4.796755465401410611e-20
1.058555601659974599e+01	1.205192274570239874e+01	1.723944636647483541e+00	-4.446880702757665560e+00	-1.502837624225099034e-01	-3.576655496186005589e-02	-6.355330413784379034e-08	2.251821451193755515e-20
1.064511356280737964e+01	1.190619508434975060e+01	1.807581027912202432e+00	-4.346879629279169599e+00	-1.510204959394138569e-01	-1.757923477063241813e-02	9.561549826321075637e-08	1.847617527349621970e-20
1.070742255165523460e+01	1.176383426931905518e+01	1.889658806956865389e+00	-4.244952811706571794e+00	-1.511587585693110747e-01	3.184162119177394012e-04	-1.048208257537910541e-07	-6.576978485208268873e-20
1.077241949112191932e+01	1.162492898439758626e+01	1.969841137218742988e+00	-4.141507410223390195e+00	-1.507087743490922449e-01	1.784168307806649478e-02	8.097968738441079285e-08	1.051133473407190113e-19
1.084003593361578943e+01	1.148947860925734865e+01	2.047849093790587105e+00	-4.037183591911391645e+00	-1.496867384761598474e-01	3.490237196309324552e-02	-2.207681923375399332e-08	-1.205910607717503108e-19
1.091019164672134067e+01	1.135752962806770228e+01	2.123400234151528121e+00	-3.932321454637103475e+00	-1.481087078774743493e-01	5.143706572109621455e-02	-6.252166381101867208e-08	9.955552413152197030e-20
1.098279889209349491e+01	1.122907676393235832e+01	2.196253476914452385e+00	-3.827359370455715393e+00	-1.459941586745228115e-01	6.738585241667927050e-02	1.517696019195507965e-07	-3.796353038057664322e-20
1.105776165326250293e+01	1.110411301166771203e+01	2.266190825005494958e+00	-3.722660364285789836e+00	-1.433638265245618659e-01	8.269880164027154645e-02	-2.165483417149100820e-07	-5.559033573367822358e-20
