x	y	xdot	ydot	theta	thetadot	cl	cr
1.654346084594726562e+01	2.442216682434082031e+01	0.000000000000000000e+00	-3.270000219345092773e-01	2.821957767009735107e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.654367637634277344e+01	2.441402626037597656e+01	1.306707691401243210e-02	-4.867235720157623291e-01	2.820531725883483887e-01	-7.756774779409170151e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.654411125183105469e+01	2.440323257446289062e+01	2.613444067537784576e-02	-6.464493274688720703e-01	2.817853391170501709e-01	-1.551372837275266647e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654476356506347656e+01	2.438977813720703125e+01	3.920296207070350647e-02	-8.061798214912414551e-01	2.813910543918609619e-01	-2.327081933617591858e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654563331604003906e+01	2.437366676330566406e+01	5.227326229214668274e-02	-9.659169912338256836e-01	2.808694541454315186e-01	-3.102796152234077454e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654672241210937500e+01	2.435489654541015625e+01	6.534649431705474854e-02	-1.125664591789245605e+00	2.802199125289916992e-01	-3.878515213727951050e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654802894592285156e+01	2.433346557617187500e+01	7.842323184013366699e-02	-1.285424470901489258e+00	2.794420719146728516e-01	-4.654237627983093262e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.654955482482910156e+01	2.430937576293945312e+01	9.150421619415283203e-02	-1.445199251174926758e+00	2.785354256629943848e-01	-5.429960042238235474e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655129814147949219e+01	2.428262138366699219e+01	1.045901700854301453e-01	-1.604991555213928223e+00	2.775001227855682373e-01	-6.205682456493377686e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655325889587402344e+01	2.425320625305175781e+01	1.176817789673805237e-01	-1.764803767204284668e+00	2.763357460498809814e-01	-6.981404870748519897e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655543899536132812e+01	2.422112655639648438e+01	1.307797282934188843e-01	-1.924638867378234863e+00	2.750422656536102295e-01	-7.757125049829483032e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.655783653259277344e+01	2.418638229370117188e+01	1.438847333192825317e-01	-2.084499120712280273e+00	2.736197412014007568e-01	-8.532844483852386475e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.656045341491699219e+01	2.414897346496582031e+01	1.569974571466445923e-01	-2.244386911392211914e+00	2.720680832862854004e-01	-9.308563917875289917e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.656328964233398438e+01	2.410890197753906250e+01	1.701185256242752075e-01	-2.404304981231689453e+00	2.703869938850402832e-01	-1.008428111672401428e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.656634330749511719e+01	2.406616401672363281e+01	1.832485795021057129e-01	-2.564255475997924805e+00	2.685769200325012207e-01	-1.085999906063079834e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.656961631774902344e+01	2.402075958251953125e+01	1.963882297277450562e-01	-2.724241971969604492e+00	2.666373848915100098e-01	-1.163571253418922424e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.657310867309570312e+01	2.397268867492675781e+01	2.095380872488021851e-01	-2.884266376495361328e+00	2.645687162876129150e-01	-1.241142451763153076e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.657682037353515625e+01	2.392194938659667969e+01	2.226987332105636597e-01	-3.044331550598144531e+00	2.623707056045532227e-01	-1.318713575601577759e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658075141906738281e+01	2.386854171752929688e+01	2.358706891536712646e-01	-3.204439640045166016e+00	2.600435316562652588e-01	-1.396284550428390503e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658490180969238281e+01	2.381246566772460938e+01	2.490542978048324585e-01	-3.364593267440795898e+00	2.575870454311370850e-01	-1.473855227231979370e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.658926391601562500e+01	2.375371742248535156e+01	2.617187201976776123e-01	-3.524935483932495117e+00	2.550065517425537109e-01	-1.548289656639099121e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.659382820129394531e+01	2.369229316711425781e+01	2.738232612609863281e-01	-3.685475349426269531e+00	2.523075044155120850e-01	-1.619352251291275024e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.659858512878417969e+01	2.362818908691406250e+01	2.853735685348510742e-01	-3.846209764480590820e+00	2.494956403970718384e-01	-1.687080115079879761e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.660352516174316406e+01	2.356140327453613281e+01	2.963753938674926758e-01	-4.007134914398193359e+00	2.465763986110687256e-01	-1.751510351896286011e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.660863876342773438e+01	2.349193000793457031e+01	3.068348765373229980e-01	-4.168247222900390625e+00	2.435552328824996948e-01	-1.812683939933776855e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.661391830444335938e+01	2.341976928710937500e+01	3.167580068111419678e-01	-4.329543113708496094e+00	2.404374480247497559e-01	-1.870640963315963745e-01	0.000000000000000000e+00	0.000000000000000000e+00
