x	y	xdot	ydot	theta	thetadot	cl	cr
1.000177288055419922e+01	2.443948745727539062e+01	0.000000000000000000e+00	-3.270000219345092773e-01	-6.509140366688370705e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000199413299560547e+01	2.443127822875976562e+01	1.360205840319395065e-02	-4.905202984809875488e-01	-7.871951675042510033e-04	-7.756649050861597061e-03	0.000000000000000000e+00	0.000000000000000000e+00
1.000244331359863281e+01	2.442035102844238281e+01	2.720366604626178741e-02	-6.540428996086120605e-01	-1.050860737450420856e-03	-1.551353558897972107e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000312042236328125e+01	2.440670394897460938e+01	4.080498591065406799e-02	-8.175702691078186035e-01	-1.442555338144302368e-03	-2.327058650553226471e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000402450561523438e+01	2.439033699035644531e+01	5.440611764788627625e-02	-9.811051487922668457e-01	-1.962614245712757111e-03	-3.102773800492286682e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000515556335449219e+01	2.437124824523925781e+01	6.800713390111923218e-02	-1.144650220870971680e+00	-2.611174946650862694e-03	-3.878494724631309509e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000651359558105469e+01	2.434943771362304688e+01	8.160804957151412964e-02	-1.308208227157592773e+00	-3.388385521247982979e-03	-4.654218256473541260e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000809955596923828e+01	2.432489967346191406e+01	9.520887583494186401e-02	-1.471781730651855469e+00	-4.294457845389842987e-03	-5.429943278431892395e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000991249084472656e+01	2.429763984680175781e+01	1.088095828890800476e-01	-1.635373234748840332e+00	-5.329645704478025436e-03	-6.205667555332183838e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.001195144653320312e+01	2.426765251159667969e+01	1.224101483821868896e-01	-1.798985600471496582e+00	-6.493832450360059738e-03	-6.981390714645385742e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.001421833038330078e+01	2.423493766784667969e+01	1.360104978084564209e-01	-1.962621450424194336e+00	-7.787100039422512054e-03	-7.757113873958587646e-02	0.000000000000000000e+00	0.000000000000000000e+00
