x	y	xdot	ydot	theta	thetadot	cl	cr
1.483004576617305936e+01	2.416191438346181997e+01	6.228628291796670102e-03	-3.176215210470345052e-01	-9.193811874605089607e-04	-2.971934903101508367e-04	-7.188097214851732818e-07	-4.480018649641452123e-05
1.485497568382234235e+01	2.375773896107133254e+01	1.807150995643669877e-01	-2.974533187879147889e+00	-1.719007475340681226e-02	-1.159657508855107266e-01	-1.498946797618210795e-05	5.865132880750926705e-06
1.492172486929074715e+01	2.257776194987875940e+01	2.847068424698639411e-01	-5.452277875401200014e+00	-5.491023532842254778e-02	-1.486261605048054824e-01	3.242905883156921157e-05	5.224568821287534526e-05
1.499106069205827652e+01	2.075578906022352044e+01	2.157716133612834764e-01	-8.266795828007010627e+00	-9.577676466826316737e-02	-1.544570798055120431e-01	-4.632860240333237751e-05	-1.178714880581064180e-04
1.505032273379018548e+01	1.820839067149515245e+01	3.188324276378882716e-01	-1.028677972843038191e+01	-1.283425741721878621e-01	-8.119840025842180176e-02	5.032019756596863653e-05	1.716155820692998664e-04
1.521605362044668119e+01	1.561527232532034759e+01	9.154059082987882068e-01	-8.670517496355998333e+00	-1.356772044160032553e-01	1.161016254636487374e-02	-3.865943785201373046e-05	-1.896487359939534969e-04
1.552547056977562789e+01	1.368914733421072150e+01	1.318800507200364569e+00	-6.283653968962911840e+00	-1.303375525956002312e-01	1.178563711881224982e-02	8.487139185474274682e-06	1.500018982378431304e-04
1.590171908541997681e+01	1.219492934499581338e+01	1.484378306031752137e+00	-4.943690274175491339e+00	-1.284351326474864052e-01	1.226123191453289130e-02	3.791066611615002621e-05	-4.098946380337948134e-05
1.632291486591459062e+01	1.108353374848895179e+01	1.659181875142409890e+00	-3.600088742363722449e+00	-1.236443538041944734e-01	1.653483742611082732e-02	-9.162648641312321949e-05	-1.302128799811059340e-04
1.677827231393184348e+01	1.024361113825304948e+01	1.736503321903039687e+00	-2.766720656470963657e+00	-1.201767536470562114e-01	1.352829718188020350e-02	1.372949926518162854e-04	3.317404482885516438e-04
1.725077263233625757e+01	9.611903910063373857e+00	1.804035259638458566e+00	-2.029612281822331443e+00	-1.158800119664316619e-01	1.724568545571402572e-02	-1.555643858121149117e-04	-5.072002327345056811e-04
1.773620083500212274e+01	9.158349457343994970e+00	1.825465193991525625e+00	-1.480220359815177966e+00	-1.114915147856135186e-01	1.486732341917282839e-02	1.280409128272490379e-04	5.844103038036812647e-04
1.822221154895741080e+01	8.809855519438904992e+00	1.817913771595126349e+00	-1.116429210192731558e+00	-1.075423942681648926e-01	1.671886327006404799e-02	-4.408712247219025322e-05	-4.934597367074731490e-04
1.870416683131550428e+01	8.568754691446676119e+00	1.794389607496770012e+00	-7.836986164498856988e-01	-1.028955374267702533e-01	1.588434967513907559e-02	-9.206907187217044887e-05	1.918918967454757236e-04
1.917552591135323325e+01	8.381611464981254755e+00	1.740693736158655636e+00	-5.961386957820815624e-01	-9.878989724370557113e-02	1.675798520450045778e-02	2.562588734110551620e-04	3.086389860482204191e-04
1.963181812107228907e+01	8.259861113026286006e+00	1.683766369956761544e+00	-3.567571056883508951e-01	-9.423359621197215097e-02	1.613045204463029944e-02	-4.040079931992772259e-04	-9.227998718133672380e-04
2.006954147963507040e+01	8.184717273610234045e+00	1.600063711193354665e+00	-2.273976982349857623e-01	-8.992721591507492340e-02	1.694102786388923532e-02	4.770718577245285281e-04	1.488779934788735755e-03
2.048274740353867429e+01	8.134629293626103319e+00	1.502421579647176264e+00	-1.556071087999552904e-01	-8.536933249652632616e-02	1.680848095765808542e-02	-4.175461154501245884e-04	-1.790230812309370452e-03
2.086687009567736339e+01	8.093599607724843992e+00	1.383120388292385927e+00	-1.780452937345548270e-01	-8.086522944719555517e-02	1.728203309987871514e-02	1.878560829094818229e-04	1.606044086540734479e-03
2.121778402845387390e+01	8.045780867620884180e+00	1.256385959863402846e+00	-1.345209690856565832e-01	-7.617335250905489519e-02	1.718510683504637787e-02	2.077433226871117382e-04	-7.833857475578897720e-04
2.153447915612771268e+01	8.032617991449711781e+00	1.124960639361119563e+00	-3.198098977411811556e-03	-7.202401382320224033e-02	1.505006657723631167e-02	-7.066147029550822129e-04	-6.793556297931902313e-04
2.181336307682276754e+01	8.028272090031249419e+00	9.725221907903294216e-01	-3.398055820168766061e-02	-6.727408253785395476e-02	1.981348423920057875e-02	1.183397554220940937e-03	2.559933918299619852e-03
2.204935808677042175e+01	8.020223875800336799e+00	8.065465715822537351e-01	-1.339794515114361810e-02	-6.273394941738641428e-02	1.384295801303516045e-02	-1.463795936678917312e-03	-4.381058139078181438e-03
2.224014153660075266e+01	8.021064000192414056e+00	6.338910710675037530e-01	1.929027329007944411e-03	-5.854581296468230195e-02	1.954127840423062340e-02	1.359267336024615842e-03	5.460249261136511205e-03
2.238279808085411560e+01	8.016778940180175894e+00	4.436257412284314583e-01	-2.198106383911213255e-02	-5.331589797273555281e-02	1.600549385550836812e-02	-7.258684421220120255e-04	-5.079447970688928497e-03
2.247248878807912931e+01	8.014063593780727857e+00	2.428198504947633452e-01	-4.641473316974821517e-03	-4.982742842119850663e-02	1.513994606423908588e-02	-4.569727688326702592e-04	2.752776934459957945e-03
2.250865159539463889e+01	8.010335409450860311e+00	3.656671288537602371e-02	-2.248372205909066751e-02	-4.414559113665636469e-02	2.237794486444342340e-02	2.004284947685217033e-03	1.512017469568125751e-03
2.248552101602387054e+01	8.003509635221336183e+00	-1.966001623238206319e-01	-2.679484021589887202e-02	-4.043269010277822373e-02	8.890744657320218125e-03	-3.499843550989206395e-03	-6.871055271749474530e-03
2.240128837448240162e+01	7.994370105551142025e+00	-4.210606575695899356e-01	-4.800349876132496696e-02	-3.565524916555488921e-02	2.715305223729869155e-02	4.369483073170573294e-03	1.182876416259132958e-02
2.225332846752464278e+01	7.974811300720028306e+00	-6.803787069973518120e-01	-9.186815957321999015e-02	-3.016225444489745861e-02	8.486163406258701719e-03	-3.958795103868871165e-03	-1.486966864614617731e-02
2.203478373398176871e+01	7.948516623493869560e+00	-9.348528182232899164e-01	-1.038155332659197044e-01	-2.766183367681354296e-02	2.203647373993259523e-02	2.068317348878859034e-03	1.569937863121465688e-02
2.174967723360522953e+01	7.916895670926279216e+00	-1.202388753196292903e+00	-1.336920101540212957e-01	-1.952814466976361685e-02	2.040901037582864772e-02	8.719020944050818707e-04	-1.436592002353709319e-02
2.138005827360381161e+01	7.877632395876250193e+00	-1.550156156300372512e+00	-1.579152639125155633e-01	-2.418088795334480401e-02	-4.652218907940774972e-02	-3.662895756652067170e-03	1.876951793958843082e-03
2.092316431179581926e+01	7.830794906332179117e+00	-1.845961653699965010e+00	-1.947171689179692244e-01	-4.088953729543410437e-02	-8.045232745629918303e-02	6.608289867806247699e-03	1.149543953639317606e-02
2.039666156143585241e+01	7.775303458472168749e+00	-2.071749144651976238e+00	-2.093338824457766922e-01	-7.103471862044277718e-02	-1.307484444780178945e-01	-1.429791165365790033e-02	-3.483519954011424918e-02
1.982865413278567246e+01	7.721014491835637372e+00	-2.166210636021312030e+00	-2.090917887024817123e-01	-9.795417604801817668e-02	-7.172638487389527973e-02	1.231568320340310427e-02	6.487427128537813503e-02
1.923731590251123436e+01	7.658267028552493194e+00	-2.267361335825569757e+00	-2.477968776731673262e-01	-1.273739486501615781e-01	-1.714937144386290135e-01	-2.018229212797824704e-02	-1.114769720558698302e-01
